iter	Passed	Remaining
366	310220	957711
367	310695	955725
368	312284	957165
369	312695	954987
370	313184	953058
371	313784	951474
372	316053	954939
373	317330	955386
374	317825	953475
375	318290	951484
376	318738	949450
377	319682	948899
378	320473	947892
379	321004	946117
380	321709	944864
381	322259	943156
382	323331	942978
383	323845	941175
384	324337	939314
385	324988	937920
386	325643	936540
387	326111	934628
388	326566	932688
389	327186	931223
390	327697	929452
391	329141	930327
392	330324	930454
393	330983	929105
394	331496	927351
395	332018	925627
396	333641	926967
397	334154	925222
398	334803	923855
399	335445	922474
400	336893	923305
401	337547	921957
402	338051	920203
403	338534	918401
404	339252	917238
405	340123	916490
406	340611	914714
407	341095	912931
408	341883	911966
409	342952	911751
410	343508	910171
411	344282	909172
412	344860	907659
413	345413	906085
414	345960	904498
415	346766	903594
416	347925	903606
417	348525	902165
418	350708	904812
419	351679	904318
420	352739	904052
421	353325	902571
422	354008	901341
423	354534	899715
424	355322	898757
425	356306	898292
426	357705	898871
427	358544	898035
428	359939	898589
429	360522	897113
430	361025	895443
431	361698	894199
432	362840	894113
433	363538	892931
434	364349	892028
435	365547	892069
436	366133	890616
437	367144	890200
438	368833	891417
439	369541	890258
440	371203	891393
441	371966	890362
442	372599	889023
443	373317	887890
444	374545	887967
445	375121	886497
446	375872	885444
447	376436	883953
448	376933	882309
449	378012	882030
450	378505	880382
451	378788	878253
452	379454	877017
453	380610	876913
454	381294	875719
455	382021	874628
456	382590	873176
457	383733	873034
458	384295	871571
459	385268	871042
460	386277	870591
461	387076	869664
462	387655	868247
463	388167	866684
464	389891	867824
465	390502	866479
466	391076	865057
467	391731	863818
468	392792	863473
469	393577	862521
470	394412	861678
471	395278	860903
472	395827	859439
473	396748	858785
474	397492	857748
475	398027	856261
476	398590	854838
477	399828	854864
478	400374	853408
479	401788	853800
480	402409	852505
481	403198	851569
482	403970	850596
483	404789	849723
484	405569	848769
485	406077	847248
486	406633	845831
487	407620	845311
488	408139	843821
489	408945	842928
490	409589	841702
491	410154	840316
492	410646	838784
493	411235	837454
494	411950	836384
495	412803	835593
496	413334	834153
497	414074	833137
498	414849	832193
499	415626	831253
500	416268	830045
501	417070	829155
502	418344	829204
503	419934	829871
504	421152	829795
505	421803	828602
506	422504	827508
507	423155	826319
508	423761	825045
509	424259	823563
510	425050	822651
511	426223	822478
512	426799	821152
513	427309	819701
514	428048	818694
515	428578	817288
516	429065	815804
517	429663	814535
518	430775	814240
519	431641	813477
520	432638	812961
521	433475	812143
522	435174	812936
523	435878	811865
524	436935	811451
525	438145	811318
526	438787	810133
527	439928	809868
528	440593	808726
529	441458	807951
530	442264	807070
531	442886	805854
532	443407	804455
533	444510	804115
534	445079	802806
535	446561	803144
536	447112	801804
537	447599	800354
538	449786	801939
539	450407	800724
540	451651	800616
541	452157	799200
542	453034	798441
543	453587	797112
544	455554	798266
545	456150	797009
546	456685	795652
547	457354	794528
548	458151	793628
549	459689	794009
550	460301	792788
551	460795	791366
552	461293	789954
553	461975	788861
554	462534	787558
555	463051	786188
556	464064	785660
557	464843	784736
558	465461	783540
559	466355	782810
560	467591	782653
561	468125	781320
562	468698	780054
563	469202	778676
564	469952	777708
565	470563	776512
566	471076	775158
567	471637	773884
568	472196	772609
569	472997	771733
570	474067	771293
571	475005	770637
572	475685	769564
573	476213	768247
574	477745	768546
575	478237	767171
576	478746	765829
577	479565	764982
578	480355	764089
579	480907	762819
580	481460	761553
581	482258	760676
582	482778	759361
583	483270	758006
584	483946	756942
585	484444	755601
586	484961	754292
587	485783	753459
588	488009	754799
589	488600	753604
590	489117	752297
591	489926	751440
592	490779	750652
593	491371	749465
594	492112	748507
595	492687	747297
596	494375	747773
597	494959	746578
598	496002	746073
599	496597	744896
600	497323	743917
601	498036	742918
602	498552	741628
603	499160	740475
604	499846	739442
605	500492	738350
606	501079	737173
607	501827	736233
608	502579	735301
609	503941	735258
610	505725	735826
611	506424	734812
612	507241	733969
613	507827	732793
614	508373	731562
615	509114	730612
616	509999	729870
617	510627	728759
618	512570	729523
619	513300	728555
620	514673	728498
621	515527	727705
622	516088	726500
623	516795	725501
624	517311	724235
625	518494	723904
626	518991	722614
627	519829	721801
628	520460	720701
629	520998	719474
630	521570	718296
631	522669	717843
632	523231	716652
633	523765	715427
634	524522	714507
635	525089	713329
636	525622	712106
637	526552	711423
638	527071	710185
639	527625	708997
640	528396	708100
641	530169	708544
642	530877	707561
643	531389	706318
644	531913	705094
645	532948	704547
646	533457	703306
647	534071	702204
648	534654	701064
649	535513	700286
650	536109	699166
651	536678	698010
652	537223	696827
653	537809	695699
654	539398	695865
655	539882	694605
656	540651	693712
657	541203	692543
658	541720	691331
659	542206	690080
660	542758	688917
661	543344	687798
662	544010	686782
663	544714	685815
664	545366	684783
665	545949	683666
666	546729	682796
667	547471	681880
668	548497	681317
669	549246	680410
670	549784	679241
671	550333	678090
672	550907	676969
673	551548	675933
674	552101	674790
675	552594	673577
676	553109	672391
677	554002	671666
678	554541	670513
679	555376	669718
680	555975	668640
681	557251	668374
682	557770	667201
683	558469	666244
684	559202	665328
685	559870	664335
686	560373	663149
687	562019	663313
688	562577	662191
689	563260	661219
690	563882	660175
691	564379	658986
692	564902	657830
693	565738	657038
694	566592	656268
695	567861	655977
696	568784	655285
697	569332	654160
698	570178	653380
699	570682	652208
700	571223	651080
701	571981	650200
702	573640	650342
703	574247	649291
704	575066	648479
705	575680	647436
706	576741	646896
707	577326	645822
708	577870	644704
709	578382	643552
710	579180	642719
711	579734	641615
712	580273	640498
713	580810	639379
714	581650	638595
715	582378	637687
716	582930	636589
717	583504	635516
718	584414	634809
719	586675	635565
720	587207	634444
721	587828	633422
722	588595	632557
723	589396	631729
724	590026	630717
725	590891	629958
726	591548	628977
727	592429	628235
728	592946	627107
729	593508	626029
730	595856	626831
731	596442	625776
732	598530	626293
733	599054	625170
734	599599	624072
735	600109	622939
736	600926	622125
737	601472	621032
738	602073	619997
739	602756	619047
740	603357	618013
741	604734	617774
742	605281	616686
743	605800	615571
744	606391	614530
745	606911	613419
746	607520	612400
747	608329	611582
748	608796	610421
749	610411	610411
750	610998	609371
751	611836	608582
752	612912	608028
753	613435	606927
754	613985	605853
755	614667	604911
756	615583	604198
757	616132	603126
758	617466	602822
759	618010	601746
760	618524	600642
761	619036	599539
762	619736	598618
763	620253	597521
764	621020	596666
765	621882	595903
766	622488	594894
767	623006	593803
768	623852	593024
769	624389	591953
770	624923	590881
771	625799	590132
772	626281	589012
773	626842	587968
774	627730	587231
775	628333	586228
776	628839	585136
777	629838	584502
778	630393	583458
779	631371	582804
780	631945	581778
781	632791	581002
782	633305	579923
783	634062	579066
784	634688	578092
785	635256	577064
786	635791	576009
787	638073	576533
788	638772	575623
789	639400	574650
790	639875	573541
791	640901	572927
792	641557	571980
793	642102	570937
794	642678	569922
795	643460	569090
796	644353	568357
797	644949	567361
798	645489	566318
799	646240	565460
800	646974	564588
801	647491	563527
802	648008	562468
803	648526	561410
804	649431	560689
805	649972	559653
806	650508	558615
807	651654	558100
808	652173	557048
809	652800	556089
810	653439	555141
811	653961	554095
812	655114	553583
813	655664	552562
814	656136	551476
815	656691	550461
816	657254	549455
817	657833	548462
818	658407	547467
819	658971	546464
820	659469	545407
821	659943	544333
822	660602	543411
823	661115	542371
824	661698	541389
825	662314	540435
826	664000	540353
827	664727	539489
828	665202	538420
829	666841	538293
830	667400	537293
831	668430	536672
832	669300	535922
833	670583	535501
834	671281	534613
835	671880	533647
836	672538	532727
837	673473	532028
838	675098	531871
839	675724	530926
840	676291	529935
841	677405	529373
842	678115	528495
843	678700	527521
844	679265	526531
845	680324	525924
846	680882	524930
847	681498	523982
848	682077	523006
849	682759	522110
850	683293	521101
851	683881	520135
852	684470	519170
853	686720	519462
854	687936	518969
855	688440	517938
856	689027	516971
857	689817	516156
858	691037	515663
859	691676	514735
860	692221	513739
861	692767	512744
862	693579	511946
863	694054	510901
864	694835	510081
865	696789	510120
866	697739	509422
867	698544	508617
868	699528	507942
869	700276	507096
